r;theta;x;y
0.289383;5.848929;0.262523;-0.121754
0.692777;4.001855;-0.451856;-0.525134
0.747793;1.497503;0.054759;0.745785
0.885386;4.778312;0.058325;-0.883463
0.516649;4.030167;-0.325757;-0.401009
0.202362;3.078931;-0.201965;0.012672
0.368690;3.267627;-0.365766;-0.046345
0.897763;3.229092;-0.894328;-0.078454
0.180540;2.409137;-0.134238;0.120727
0.089172;2.863474;-0.085745;0.024482
0.005211;3.740808;-0.004303;-0.002939
0.702567;6.009421;0.676403;-0.189944
0.465782;0.135277;0.461527;0.062818
0.722862;4.179091;-0.367486;-0.622482
0.174067;4.417928;-0.050518;-0.166575
0.513929;6.156278;0.509796;-0.065047
0.634022;4.543108;-0.106816;-0.624959
0.133069;5.643350;0.106747;-0.079451
0.961393;0.115962;0.954936;0.111236
0.175011;3.003627;-0.173348;0.024069
0.176229;2.371105;-0.126457;0.122741
0.484421;3.423827;-0.465255;-0.134912
0.413784;5.645675;0.332508;-0.246283
0.575198;3.734248;-0.477104;-0.321286
0.798315;4.174360;-0.409092;-0.685529
0.566413;5.048703;0.186922;-0.534681
0.776091;1.690051;-0.092333;0.770579
0.759956;1.519733;0.038789;0.758965
0.806862;6.277970;0.806851;-0.004208
0.906996;3.124509;-0.906864;0.015494
0.702305;2.644750;-0.617391;0.334755
0.477084;2.113205;-0.246271;0.408607
0.660336;0.794854;0.462492;0.471322
0.750846;3.906439;-0.541727;-0.519905
0.661313;5.817331;0.590842;-0.297053
0.616124;2.223588;-0.374238;0.489444
0.819582;0.631743;0.661402;0.484006
0.898814;1.466288;0.093763;0.893910
0.515434;6.222641;0.514490;-0.031188
0.344043;1.971349;-0.134152;0.316810
0.171087;2.681714;-0.153312;0.075935
0.117276;5.951295;0.110876;-0.038212
0.695788;2.472961;-0.545965;0.431328
0.705403;3.158249;-0.705305;-0.011749
0.392754;3.847817;-0.298814;-0.254884
0.999932;0.597280;0.826812;0.562357
0.549676;6.241515;0.549199;-0.022898
0.947739;1.319544;0.235624;0.917982
0.636226;4.389345;-0.201973;-0.603316
0.348094;1.869493;-0.102435;0.332681
0.140795;3.019510;-0.139747;0.017146
0.651434;6.034233;0.631351;-0.160506
0.097467;0.418466;0.089057;0.039607
0.710097;3.850977;-0.538795;-0.462534
0.573317;3.584507;-0.517996;-0.245709
0.926652;1.638378;-0.062577;0.924537
0.997301;3.520343;-0.926620;-0.368762
0.724286;1.315957;0.182585;0.700894
0.953865;2.699816;-0.862288;0.407822
0.228444;2.177871;-0.130320;0.187626
0.558440;4.679270;-0.018491;-0.558134
0.958031;0.679319;0.745349;0.601896
0.738097;5.691127;0.612468;-0.411910
0.834481;5.596276;0.645229;-0.529186
0.120709;4.391488;-0.038074;-0.114547
0.704567;4.887414;0.122688;-0.693803
0.179497;5.481156;0.124795;-0.129017
0.254586;1.740222;-0.042927;0.250941
0.455306;6.061282;0.444142;-0.100207
0.406219;0.179850;0.399667;0.072665
0.051528;2.091490;-0.025634;0.044699
0.805732;0.306802;0.768108;0.243340
0.409503;3.330208;-0.402240;-0.076781
0.258270;2.283109;-0.168802;0.195472
0.959708;3.058121;-0.956367;0.080016
0.226340;3.255626;-0.224870;-0.025754
0.747796;4.402773;-0.227848;-0.712239
0.142618;0.014106;0.142604;0.002012
0.122846;3.100444;-0.122742;0.005054
0.892921;1.530301;0.036149;0.892189
0.192379;3.754128;-0.157403;-0.110607
0.537764;5.580901;0.410512;-0.347376
0.469841;4.978482;0.123551;-0.453305
0.165193;2.774026;-0.154159;0.059361
0.757034;0.551437;0.644821;0.396619
0.470124;2.041495;-0.213205;0.418999
0.936987;1.733254;-0.151552;0.924649
0.373743;2.177067;-0.212961;0.307134
0.322227;0.932205;0.192068;0.258728
0.709859;1.771456;-0.141486;0.695616
0.151432;2.843462;-0.144752;0.044481
