X; Y
0.517718; 0.402940
0.043367; 0.033026
0.325254; 0.640458
0.739287; 0.420497
0.251640; 0.840642
0.243507; 0.378758
0.749740; 0.877609
0.107622; 0.437538
0.604701; 0.031235
0.728950; 0.164404
0.912867; 0.916141
0.108414; 0.344754
0.711867; 0.355728
0.725336; 0.318764
0.039069; 0.777453
0.108471; 0.073139
0.180393; 0.151838
0.622518; 0.505647
0.308648; 0.361805
0.442497; 0.560289
0.718799; 0.202356
0.455399; 0.984891
0.596317; 0.563021
0.422429; 0.201019
0.110609; 0.667731
0.881775; 0.023476
0.583872; 0.990189
0.884582; 0.812092
0.345917; 0.609918
0.130856; 0.901338
0.903723; 0.755679
0.974478; 0.084116
0.907517; 0.113348
0.106116; 0.216166
0.991505; 0.064965
0.292807; 0.710304
0.783673; 0.264558
0.695195; 0.379991
0.827579; 0.633976
0.581010; 0.938188
0.818059; 0.462785
0.478016; 0.918284
0.969327; 0.362598
0.730376; 0.831596
0.488869; 0.377584
0.732935; 0.392592
0.133264; 0.223765
0.993061; 0.557133
0.337113; 0.099177
0.289651; 0.328618
0.680494; 0.098810
0.555274; 0.464167
0.363368; 0.766821
0.360510; 0.707300
0.917149; 0.457872
0.645488; 0.735208
0.437010; 0.639857
0.653492; 0.406337
0.002455; 0.900220
0.237933; 0.491324
0.794157; 0.970868
0.883917; 0.443773
0.194633; 0.876978
0.000906; 0.048098
0.492507; 0.290558
0.893068; 0.689353
0.905720; 0.448342
0.669872; 0.269089
0.731515; 0.030383
0.976389; 0.648664
0.488255; 0.138229
0.383873; 0.925265
0.778086; 0.553717
0.847954; 0.780542
0.970290; 0.085888
0.788218; 0.764447
0.573108; 0.672135
0.208220; 0.284094
0.065465; 0.725478
0.848544; 0.074324
0.532388; 0.741613
0.763677; 0.438109
0.706307; 0.433550
0.223550; 0.437823
0.980285; 0.199939
0.086487; 0.984892
0.854520; 0.986712
0.426510; 0.632607
0.056782; 0.274464
0.929501; 0.027072
0.876704; 0.717719
0.307871; 0.966165
0.906207; 0.032443
0.250259; 0.488024
0.274273; 0.615155
0.562349; 0.806662
0.356768; 0.842378
0.761123; 0.063076
0.792280; 0.984673
0.500899; 0.772565
0.700964; 0.103738
0.273810; 0.555484
0.090451; 0.700320
0.188091; 0.663585
0.974784; 0.633944
0.207009; 0.367841
0.351664; 0.514880
0.334006; 0.774223
0.063675; 0.100617
0.262247; 0.854300
0.715772; 0.340948
0.660962; 0.072541
0.183327; 0.938437
0.651969; 0.491959
0.439462; 0.152868
0.780877; 0.140426
0.772958; 0.054687
0.212263; 0.379761
0.755007; 0.916706
0.043346; 0.246143
0.550651; 0.250355
0.613984; 0.418667
0.281587; 0.947990
0.192890; 0.861614
0.048607; 0.971489
0.715915; 0.764380
0.312438; 0.893229
0.353273; 0.012117
0.831667; 0.005242
0.504076; 0.787481
0.674462; 0.284953
0.444260; 0.447420
0.339640; 0.656523
0.827182; 0.610999
0.089581; 0.386880
0.857143; 0.156584
0.153588; 0.987479
0.575251; 0.951527
0.935470; 0.768141
0.813142; 0.500429
0.255983; 0.529057
0.264809; 0.568421
0.938638; 0.618082
0.580538; 0.286657
0.139676; 0.084614
0.074139; 0.814138
0.885920; 0.518399
0.261559; 0.741912
0.691274; 0.605093
0.352912; 0.780855
0.508325; 0.726407
0.453792; 0.661913
0.713886; 0.029043
0.613441; 0.649356
0.313537; 0.942935
0.149786; 0.569520
0.471992; 0.930947
0.137941; 0.926982
0.065382; 0.234831
0.213640; 0.205058
0.835797; 0.287779
0.019197; 0.721717
0.322530; 0.797108
0.463630; 0.530156
0.918553; 0.332894
0.827363; 0.426878
0.059301; 0.281155
0.605144; 0.289539
0.310199; 0.218585
0.455248; 0.140088
0.161520; 0.121386
0.709608; 0.149864
0.052333; 0.363901
0.593198; 0.117715
0.115084; 0.806838
0.839126; 0.950881
0.610969; 0.374675
0.188951; 0.449851
