X(2,4); Y(2,4)
2.578766; 1.861772
3.385554; 1.273830
3.495586; 0.476670
3.770772; 1.520984
3.033298; 1.282842
2.404724; 0.980054
2.737380; 1.040118
3.795526; 1.027852
2.361080; 0.766852
2.178344; 0.911472
2.010422; 1.190736
3.405134; 1.912858
2.931564; 0.043060
3.445724; 1.330246
2.348134; 1.406270
3.027858; 1.959604
3.268044; 1.446116
2.266138; 1.796334
3.922786; 0.036912
2.350022; 0.956084
2.352458; 0.754746
2.968842; 1.089838
2.827568; 1.797074
3.150396; 1.188648
3.596630; 1.328740
3.132826; 1.607052
3.552182; 0.537960
3.519912; 0.483746
3.613724; 1.998340
3.813992; 0.994562
3.404610; 0.841850
2.954168; 0.672654
3.320672; 0.253010
3.501692; 1.243458
3.322626; 1.851714
3.232248; 0.707790
3.639164; 0.201090
3.797628; 0.466734
3.030868; 1.980728
2.688086; 0.627500
2.342174; 0.853616
2.234552; 1.894356
3.391576; 0.787168
3.410806; 1.005302
2.785508; 1.224798
3.999864; 0.190120
3.099352; 1.986736
3.895478; 0.420024
3.272452; 1.397172
2.696188; 0.595078
2.281590; 0.961140
3.302868; 1.920756
2.194934; 0.133202
3.420194; 1.225804
3.146634; 1.140984
3.853304; 0.521512
3.994602; 1.120560
3.448572; 0.418882
3.907730; 0.859378
2.456888; 0.693238
3.116880; 1.489458
3.916062; 0.216234
3.476194; 1.811542
3.668962; 1.781350
2.241418; 1.397854
3.409134; 1.555712
2.358994; 1.744706
2.509172; 0.553930
2.910612; 1.929366
2.812438; 0.057248
2.103056; 0.665742
3.611464; 0.097658
2.819006; 1.060038
2.516540; 0.726736
3.919416; 0.973430
2.452680; 1.036298
3.495592; 1.401446
2.285236; 0.004490
2.245692; 0.986902
3.785842; 0.487110
2.384758; 1.194976
3.075528; 1.776456
2.939682; 1.584700
2.330386; 0.883000
3.514068; 0.175528
2.940248; 0.649828
3.873974; 0.551712
2.747486; 0.692982
2.644454; 0.296730
3.419718; 0.563872
2.302864; 0.905102
2.632874; 1.798456
2.306550; 1.950814
3.802948; 0.552242
2.937716; 1.588790
2.072058; 1.322474
3.816470; 1.147586
2.131636; 1.788856
2.732286; 0.462022
2.671856; 1.279058
2.637552; 0.644808
3.928886; 0.511526
2.229226; 1.709076
2.237212; 0.873680
2.005808; 0.689636
2.470256; 1.341376
3.594738; 0.135834
3.139834; 0.933992
2.086648; 1.975486
2.518940; 1.024366
2.596980; 0.590998
3.379544; 0.413450
2.771288; 1.511180
3.235010; 0.536278
3.005908; 0.939572
3.815338; 0.676164
2.617084; 0.776928
2.220394; 1.879014
3.518710; 0.457608
2.752696; 0.557222
3.147244; 0.255656
3.898598; 1.774686
2.391492; 0.071136
2.708680; 1.510844
2.046622; 1.227620
2.535210; 0.643602
2.851322; 0.947460
2.089756; 1.622610
2.458640; 0.357472
2.158888; 0.497252
3.297044; 1.006930
3.173416; 0.946832
2.816564; 0.426516
2.825848; 0.335274
2.884124; 0.611248
3.925200; 1.064072
2.866904; 1.823798
2.838758; 0.291100
3.894936; 0.580142
3.801946; 0.974262
3.807762; 1.369860
3.617866; 1.691788
2.317320; 0.740326
3.314398; 0.775962
3.097798; 0.505992
2.305918; 1.427546
2.545626; 1.479336
2.374380; 1.362190
3.905852; 0.232932
2.730168; 1.822680
2.844180; 0.655368
2.886752; 1.711084
3.511872; 0.758214
3.034890; 0.439512
3.338358; 0.836836
3.413774; 0.178824
2.206696; 0.064344
2.903318; 0.524018
2.804672; 1.250420
2.332684; 0.935174
3.756412; 0.638602
3.395426; 1.334744
3.150642; 0.802510
3.729638; 0.089198
3.035442; 0.459808
3.911878; 1.879622
2.147880; 1.831334
2.623410; 0.692456
3.622254; 1.658300
3.131968; 1.993316
3.527840; 1.578448
3.204844; 1.734538
3.642792; 0.108162
3.291260; 1.480168
3.358584; 1.623944
2.415344; 0.147700
3.295250; 1.810770
3.482444; 1.478598
2.613280; 1.212084
3.567796; 0.681426
2.704596; 0.512380
2.561048; 1.885180
3.376418; 0.217162
2.577638; 0.998672
3.875464; 0.742310
2.991988; 0.436008
2.320758; 1.229538
2.170546; 1.963552
3.337700; 0.494510
3.443720; 0.696284
3.151158; 0.891768
2.843986; 0.446410
3.735242; 1.359134
3.925008; 1.381226
3.603922; 0.525508
2.062652; 0.308518
3.037888; 1.656404
3.226404; 1.447012
3.873568; 1.804042
2.445684; 0.781736
3.579056; 0.470378
3.217744; 1.899816
3.699916; 0.420996
2.896072; 1.037616
2.915506; 1.372496
2.766606; 0.066666
2.264266; 0.643296
3.545780; 1.999508
3.035134; 0.503492
3.380736; 0.639058
3.029000; 0.476092
2.947576; 1.099594
2.132498; 0.173980
2.546606; 0.006066
3.010726; 0.024994
3.820506; 0.589784
2.495372; 1.038250
3.522304; 1.227992
2.491950; 0.418376
3.298314; 1.407458
3.790872; 0.064920
2.506828; 1.087842
3.740920; 0.052608
2.120056; 0.776054
2.556100; 0.533496
3.415112; 0.617804
3.009588; 1.395394
3.717398; 1.142086
2.602078; 0.264004
2.180856; 1.612806
2.289000; 0.001362
3.235294; 1.817076
2.072318; 1.790302
3.045070; 0.564268
2.208678; 0.343384
3.004430; 1.032254
3.441008; 1.511258
2.120098; 1.181928
2.596570; 1.272858
2.990686; 1.152670
3.806354; 0.405800
3.770476; 0.815942
2.833898; 0.520578
2.990734; 1.435976
2.784584; 1.171590
2.081486; 0.106288
2.205658; 1.316780
3.923364; 1.310680
3.107082; 0.001138
2.907652; 0.348464
2.344522; 1.912084
3.380720; 0.818234
2.456046; 0.533522
2.000162; 1.052618
3.806380; 0.990850
3.237992; 1.612734
2.429354; 1.008468
3.461380; 1.263252
3.529048; 0.452114
2.699228; 1.346336
2.656410; 0.780716
3.452624; 1.894772
3.130200; 0.408692
3.205452; 1.269988
2.409832; 0.113104
2.651156; 1.787058
3.057892; 1.064580
2.605294; 1.513940
3.598102; 1.638160
3.599262; 0.437186
3.661714; 0.837254
3.082624; 1.123772
2.878428; 1.576710
2.387024; 1.440180
2.028824; 0.118958
3.819220; 1.717938
3.932378; 0.304548
3.612710; 0.095282
2.713240; 1.850866
2.397974; 0.155776
2.996676; 1.049132
2.975540; 0.054568
2.113712; 1.580834
2.601212; 0.744520
2.251698; 0.200474
