x;y
0.431459;0.192922
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.756007;0.377585
0.265773;0.134908
0.551809;0.256876
0.000000;0.000000
0.208913;0.120360
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.686649;0.341716
0.000000;0.000000
0.189147;0.116045
0.752287;0.375851
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.192146;0.116674
0.195953;0.117486
0.712039;0.355674
0.615306;0.298506
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.702047;0.350286
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.754345;0.376813
0.515941;0.232872
0.179374;0.114058
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.585966;0.279504
0.000000;0.000000
0.801450;0.396770
0.000000;0.000000
0.000000;0.000000
0.521910;0.236868
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.322306;0.152296
0.813619;0.401252
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.205846;0.119665
0.371955;0.169724
0.672359;0.333493
0.604797;0.291760
0.000000;0.000000
0.000000;0.000000
0.609365;0.294701
0.378556;0.172180
0.000000;0.000000
0.318053;0.150893
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.241241;0.128253
0.784993;0.390258
0.692180;0.344831
0.158397;0.110129
0.000000;0.000000
0.692566;0.345046
0.000000;0.000000
0.559043;0.261698
0.483195;0.214818
0.000000;0.000000
0.093488;0.100955
0.474311;0.210958
0.104471;0.102183
0.000000;0.000000
0.690841;0.344080
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.548149;0.254431
0.503885;0.224813
0.477911;0.212517
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.335532;0.156752
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.380689;0.172980
0.446156;0.198993
0.000000;0.000000
0.575948;0.272910
0.000000;0.000000
0.737297;0.368636
0.000000;0.000000
0.462047;0.205695
0.000000;0.000000
0.000000;0.000000
0.562759;0.264171
0.000000;0.000000
0.000000;0.000000
0.249750;0.130497
0.531053;0.242992
0.000000;0.000000
0.394931;0.178403
0.631720;0.308878
0.000000;0.000000
0.324063;0.152880
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.607668;0.293610
0.614114;0.297744
0.654249;0.322732
0.000000;0.000000
0.642439;0.315529
0.623051;0.303426
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.131508;0.105773
0.000000;0.000000
0.800374;0.396360
0.102670;0.101973
0.403864;0.181875
0.227580;0.124793
0.000000;0.000000
0.546624;0.253412
0.626795;0.305788
0.656049;0.323818
0.000000;0.000000
0.757097;0.378087
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.667378;0.330570
0.599384;0.288258
0.162687;0.110895
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.757474;0.378261
0.000000;0.000000
0.000000;0.000000
0.466982;0.207803
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.278055;0.138448
0.000000;0.000000
0.000000;0.000000
0.459065;0.204427
0.000000;0.000000
0.528071;0.240995
0.416854;0.187016
0.000000;0.000000
0.430538;0.192546
0.000000;0.000000
0.727806;0.363880
0.139067;0.106919
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.626661;0.305704
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.759149;0.379029
0.000000;0.000000
0.000000;0.000000
0.310880;0.148561
0.000000;0.000000
0.000000;0.000000
0.000000;0.000000
0.662425;0.327635
0.675699;0.335437
0.572636;0.270722
0.000000;0.000000
0.000000;0.000000
0.757264;0.378164
0.000000;0.000000
0.753068;0.376217
0.697557;0.347820
0.000000;0.000000
0.404698;0.182202
0.740585;0.370250
0.000000;0.000000
0.359356;0.165124
0.000000;0.000000
0.356181;0.163983
0.000000;0.000000
0.000000;0.000000
0.369837;0.168943
0.000000;0.000000
0.000000;0.000000
0.412716;0.185367
0.000000;0.000000
0.739808;0.369870
0.000000;0.000000
0.450217;0.200693
0.000000;0.000000
0.024578;0.096333
0.000000;0.000000
0.000000;0.000000
