r;theta;x;y
0.335622;2.580617;-0.284183;0.178555
0.752340;5.533702;0.550744;-0.512540
0.456358;2.275179;-0.295521;0.347750
0.767742;2.511804;-0.620452;0.452180
0.562885;4.008930;-0.364107;-0.429261
0.739262;5.456356;0.500637;-0.543940
0.975547;3.814327;-0.762995;-0.607889
0.843903;4.788139;0.063865;-0.841483
0.727186;5.655137;0.588422;-0.427270
0.480222;2.629444;-0.418606;0.235333
0.330595;3.929542;-0.233169;-0.234362
0.155094;5.126187;0.062362;-0.142004
0.812185;2.963326;-0.799314;0.144020
0.664952;3.423230;-0.638754;-0.184809
0.985532;2.453358;-0.761194;0.625985
0.450666;0.527260;0.389461;0.226760
0.563502;4.832498;0.067519;-0.559442
0.693530;0.264836;0.669350;0.181532
0.804720;0.442412;0.727243;0.344517
0.664768;6.059592;0.648220;-0.147402
0.841697;6.210464;0.839472;-0.061155
0.590908;1.108957;0.263306;0.529001
0.771683;3.629784;-0.681537;-0.361942
0.968789;4.025304;-0.614490;-0.748969
0.691188;1.062901;0.336152;0.603940
0.758610;3.688444;-0.647979;-0.394477
0.557606;3.767040;-0.452052;-0.326456
0.958772;6.098271;0.942427;-0.176282
0.266779;2.270775;-0.171859;0.204048
0.178174;3.511025;-0.166153;-0.064336
0.867104;1.475581;0.082437;0.863177
0.801694;3.680414;-0.688106;-0.411369
0.721328;0.777217;0.514211;0.505866
0.792405;4.299213;-0.318167;-0.725725
0.842890;0.438711;0.763068;0.358037
0.406211;5.876462;0.373073;-0.160698
0.241348;3.230682;-0.240391;-0.021473
0.334313;1.068745;0.160880;0.293058
0.779890;0.316157;0.741237;0.242481
0.900413;0.540165;0.772215;0.463062
0.857809;5.671103;0.702076;-0.492874
0.435152;3.538143;-0.401383;-0.168073
0.708609;0.682360;0.549942;0.446868
0.730536;0.563294;0.617669;0.390087
0.993156;0.513851;0.864898;0.488171
0.805263;1.599580;-0.023175;0.804929
0.912677;5.073760;0.322684;-0.853730
0.916699;2.219818;-0.554060;0.730312
0.669003;2.942064;-0.655730;0.132601
0.744237;0.992919;0.406537;0.623390
0.233279;4.516951;-0.045302;-0.228838
0.305444;0.707914;0.232052;0.198615
0.865694;4.532772;-0.154659;-0.851767
0.893933;2.247219;-0.559609;0.697104
0.878482;0.793007;0.616436;0.625889
0.979785;0.150294;0.968740;0.146702
0.169694;4.182635;-0.085750;-0.146434
0.766181;0.297038;0.732628;0.224253
0.539111;4.002823;-0.351234;-0.408994
0.808256;1.740442;-0.136461;0.796653
0.847851;1.895807;-0.270735;0.803464
0.729096;3.467257;-0.690774;-0.233265
0.790944;2.336830;-0.548348;0.570007
0.649213;0.459665;0.581826;0.288022
0.597088;3.089555;-0.596280;0.031057
0.864603;2.581968;-0.732712;0.458990
0.458926;5.283122;0.247934;-0.386188
0.199882;2.993259;-0.197688;0.029541
0.749832;2.233176;-0.461143;0.591266
0.591946;5.342794;0.348935;-0.478167
0.693998;1.950163;-0.257009;0.644654
0.624983;0.168270;0.616156;0.104670
0.701725;3.103825;-0.701225;0.026497
